text,label,lang,num_vertices,num_edges,average_degree,density,average_clustering_coefficient,assortativity,connected_components,giant_component_size,average_shortest_path_length,diameter,average_degree_centrality,average_betweenness_centrality,average_closeness_centrality,average_eigenvector_centrality
"MICUSP Version 1.0 - PHI.G0.06.5 - Philosophy - Final Year Undergraduate - Female - Native Speaker - Response Paper 1 The Evaluative Role of Pain Eric suggested in class that pain fulfills criterion “E”, the evaluative role that mental objects seem to have. Pain is not bad because we assign it the value “bad”. It just is bad (intrinsically bad, I would assume). However, it seems—at least in some cases—that pain is bad because of the value we assign to it. Consider the case of the devout Christian. The devout Christian views physical pain as a way to share in the suffering of Christ (indeed, Pope John Paul II spoke of his great physical suffering as a blessing). He considers his pain a good thing, because it allows him to meditate on the sufferings of Christ and therefore become a better Christian. Pain is not bad for the devout Christian. Use another example, if you like. For the hedonistic masochist, too, pain is not bad. It is a source of pleasure for him, and he does not consider what gives him pleasure to be bad. Now, does this mean that those of us who consider pain to be intrinsically bad are really just assigning the value “bad” to pain? I do not know, and a one page paper hardly seems the place to discuss the question. If pain is not bad by assignment, then it fulfills the evaluative role. If pain is bad merely by assignment, though, it does not fulfill the evaluative role. This does not mean, of course, that pain does not have a place among the mental. Pain appears to play a behavioral role, it is “introspectible from the ‘inside’”, and it is either not located in space, or indeterminately located in space. Michigan Corpus of Upper-level Student Papers. Version 1.0 Ann Arbor, MI. Copyright (c) 2009 Regents of the University of Michigan",eng_standard,en,57,31,1.087719298245614,0.019423558897243107,0.0,-0.11363636363636369,34,11,2.5454545454545454,4,0.015664160401002505,0.0011961722488038277,0.02490535361641545,0.05173158164419844
"Jessica is 14 and lives with her mum and sister, Emma who is 16. Jessica and Emma have always been close, and even more so when their parents separated two years ago. They always looked very similar, so much so that when they were younger people often mistook them for twins. But, these sisters were actually very different. But, Jessica feels that she is living in her sister's shadow and she no where near as good in any way. At school all of her male friends say how much they fancy Emma and other girls are jealous, secretly wanted to be her. Jessica wishes that she was as popular as her sister and secretly wanted to be her too. Jessica is much shorter than Emma was at that age and doesn't share the same sporty figure. Her skin is very pale and her hair has always been frizzy. Emma had always been good at every subject and is one of the best at sports in the school. Jessica is bright but has never excelled greatly in any subject area, and on the sports field is awkward and clumsy. Jessica often feels that her parents prefer Emma and feels jealous when they tell other people how well Emma is doing. Jessica has always tried to be like her sister, but wants to find some way of showing people that she is just as special. Emma is so confident and although Jessica is not shy, the confidence she shows is always part of an act that she puts on to hide her real feelings. One thing that Jessica does well in is drama. She hasn't auditioned before for any of the school productions because she had been too shy. However, in drama classes she finds that she is more confident and, in fact, very good. She been to see lots of shows before and had always dreamed secretly that she up on stage too. Jessica's parents do not consider drama to be a very good route to follow and insisted that she did not pursue the subject at GCSE. Jessica is desperate to find a way to prove how talented she is and show that there is something that she, and not Emma, is good at.",eng_standard,en,57,31,1.087719298245614,0.019423558897243107,0.0,-0.11363636363636369,34,11,2.5454545454545454,4,0.015664160401002505,0.0011961722488038277,0.02490535361641545,0.05173158164419844
"MICUSP Version 1.0 - CLS.G0.04.1 - History & Classical Studies - Final Year Undergraduate - Female - Native Speaker - Response Paper 1 After reading The Odyssey, an epic Greek poem written by Homer, one is left with an interesting overall impression of the main female characters. The common characteristic which personifies most, if not all of the female characters, such as Penelope, Helen, Calypso, the Sirens, and Circe is that of deception. Each female character is able to effectively deceive other male characters, with the use of one or all of the following: weaving, potions, and spells. Particularly what interests me about Book Ten of the Odyssey is the portrayal of Circe as a witch, and the characteristics Homer uses to personify her as such. It is important to examine how Homer structures Circe’s character because, “the Homeric portrayal of Circe is of great importance, for it may be considered the first extant portrait of a witch in Greek literature” (98, Ogden). By examining the description of the encounter between Odysseus and Circe, it is evident that Homer uses weaving, potions, and spell casting, to build Circe’s character as a witch. (How circe fits in with other examples of deceiving women in the odyssey) From the very first moment the reader meets Circe, she is performing an act which illustrates her true cunning and mischievous nature. Odysseus’ men first encounter Circe in her home where they “heard her singing, lifting her spellbinding voice as she glided back and forth at her great immortal loom, her enchanting web a shimmering glory only goddesses can weave” (X, 242-46, Homer). In ancient Greece the act of weaving was considered a female role, and typically represents the deceptive nature of women. Weaving takes a great amount of forethought and planning, much like that which is necessary in order to lay a trap for them. In Circe’s case her weaving foreshadows the trap she has set for Odysseus’ men who are about to consume poisonous food. Also, the literal weaving is symbolic of a net or web which are both objects used to capture things, thus symbolic of Circe’s plan to capture the sea men. This notion of weaving as a deceptive tool is furthered throughout the Epic by other female characters, like Penelope. Unlike in Circe’s case in which the weaving is merely a clue to the reader that Circe is a deceptive",eng_standard,en,82,125,3.048780487804878,0.037639265281541705,0.2776955090979481,-0.102438388316599,22,61,4.000546448087432,10,0.029810298102981025,0.02066772056609455,0.1440495702386648,0.059454503433386055
"The poem, or song, concerns a Lady's indecision about whom she will choose, Alexis or Damon. The poem is written mainly in iambic tetrameter, though there are some inverted feet which stop the poem falling into monotony. An example is the spondee in 'How strongly...', which starts the poem. The stress on the questioning word emphasises the fact that it is a dilemma; the writer is asking us a question. Later in the poem, 'Cure then...' also has two stresses, this makes it sound more like a command than a request and the reader is encouraged by the punctuation to pause after this, which makes it more prominent. The obvious advantage of the metre is that English speech is usually in iambs, so the metre does lend itself to be sung, although the use of masculine rhymes stops the tone becoming too whimsical and draws our attention to the dilemma at hand. On line six of each stanza there is an extra iambic foot which has the effect of slowing down the speech of the reader and forces them to further contemplate the last few words of each verse. This is especially effective in the second stanza, where we pronounce the words 'languish', 'sigh', and 'die' more slowly than the others; it feels almost like a heavy sigh of indecision in itself. The word 'die', indicates strong heartfelt feelings and brings a a more serious tone to the poem, along with the use of the word 'blood', which makes us think of the colour red, the colour of passion. It links us back to the first line where we are asked the question 'How strongly does my passion flow...'. Of course passion, an emotion, cannot be said to physically flow but we traditionally link passion and strong feelings with blood, as it is innate and these feelings, like our blood, cannot be changed. The reader imagines passion coursing through the veins and the 'restless fever' indicates action not passivity. We are left with the feeling that this is not girlish indecision, but fierce love for both parties and a true predicament for the woman concerned. Sibilance is used in the second stanza; the name Alexis lends itself to this. Sibilance in 'Alexis present is...' and 'Alexis I do miss...' makes the reader pronounce speak softly at these points. This contrasts with the plosive consonance of 'pow'rful prove' and the commanding",eng_standard,en,75,107,2.8533333333333335,0.03855855855855856,0.26513227513227516,-0.09208327248535556,11,60,5.7983050847457624,14,0.032432432432432434,0.041930149327409606,0.11509287621719212,0.0475936244857429
"Aims:To measure experimentally the enthalpy of vapourisation of liquid nitrogen (N 2), and that of solid carbon dioxide (CO 2) in order to test the validity of Trouton's Rule. Method:The temperature of 1 dm 3 of water in a Styrofoam igloo was measured until constant. A known amount of the cryogen was added directly and the temperature of the water measured every minute until there was no further temperature change due to the presence of the cryogen. The temperature of the nitrogen and carbon dioxide vapour evolved was measured using a thermocouple. The data obtained, along with the boiling points of nitrogen and carbon dioxide was used to calculate the entropy of vapourisation of both these substances. A weighed mass CO 2 of was used as follows: FORMULA FORMULA The liquid nitrogen could not be weighed accurately directly, so a cup filled to a mark was used to measure a volume of nitrogen. This volume was equivalent to a mass of water of 110.7 ±1.0g (This large uncertainty is due to the width of the mark). ResultsN.B. 1. * denotes negligible error (2.272 x10 -5 mol) 2. Heat capacities of each substance are found in the lab manual and are taken to have zero uncertainty. 3. The thermocouple reading of gaseous temperature is taken to have an uncertainty of ± 0.5K. 4. The boiling points of N 2 and CO 2 were taken as 77.0 ± 0.5 K and 194.5 ± 0.5K respectively. 5. The value of enthalpy of fusion of CO 2 which needs to be taken into account to work out the enthalpy of vapourisation was taken as 7.94 kJ mol -1, with zero uncertainty. Graphs used to calculate ∆TConclusionsThe entropy of vapourisation of carbon dioxide was found to be, on average, 77.87 ± 7.11 JK -1mol -1, and that of nitrogen to be 77.66 ± 6.04 JK -1mol -1. These values are in agreement with Trouton's rule that states the entropy of vapourisation of most substances is approximately equal to 85 JK -1mol -1 . The apparatus used in the experiment is simpler than that which would be desirable to obtain fully accurate data. However, the uncertainties calculated show that the results were sufficiently accurate to agree with Trouton's rule. The major sources of uncertainty were the measurement of the volume of water used and the estimation of the temperature change, which at best could only be",eng_standard,en,72,109,3.0277777777777777,0.042644757433489826,0.1609347442680776,0.24437767458799992,16,52,3.927601809954751,9,0.034037558685446015,0.021702436843281915,0.13947329953716714,0.05504529237136741
"The Sulphur cycleWhen the oxygen is completely depleted in the lower parts of the sediment anaerobic species of Clostridium bacteria begin to grow. Anaerobic bacteria can use nitrates or sulphates as the terminal electron acceptor of respiration instead of oxygen. The Clostridium species degrade the cellulose to glucose and then ferment it to produce energy. Other products of this anaerobic type of respiration are organic compounds such as ethanol, acetic acid and succinic acid. Sulphur reducing bacteria such as Desulfovibrio can use these products for anaerobic respiration using sulphates producing lots of H 2S. This H 2S will react with any iron producing black ferrous sulphide. The H 2S diffuses from the sediment into the water column; this is then used by photosynthetic bacteria to grow. Immediately above the sediment there is usually a band of green sulphur bacteria followed by a band of purple sulphur bacteria. They use H 2S instead of water as the reductant during photosynthesis so produce sulphur and not oxygen. FORMULA This sulphur then returns to the sediment and is recycled by Desulfovibrio. The water column above this zone is often full of red bacteria, these are purple non-sulphur bacteria that grow in anaerobic conditions and are known as photoheterotrophs. This is due to their use of organic acids supplied by Clostridium bacterium as their carbon source. These bacteria such as Rhodopseudomonas, Rhodospirillum and Rhodomicrobium are intolerant of high concentrations of H 2S so occur above the layers of green and purple sulphur bacteria. The top zone in the Winogradsky column is the aerobic zone, it is mainly populated by three distinctive types of bacteria: Sulphur oxidising bacteria such as Beggiatoa and Thiobacillus known as chemoautotrophs. They oxidise any H 2S that diffuses into the aerobic zone to gain energy and synthesise their organic matter from CO 2 Photosynthetic Cyanobacteria which produces oxygen from CO 2 Sheathed bacteria which produces sheaths formed by a mixture of proteins, polysaccarides and lipids. These are found right at the top of the water column and can be encrusted with ferric oxide giving them a yellow colour. ConclusionFrom looking at our Winogradsky columns the different zones can be identified by their levels and their colours, our experiment shows that the three columns with only distilled water added have signs of ferric hydroxide encrusted sheathed bacteria at the top, some initial growth of purple non-sulphur bacteria on the inside of",eng_standard,en,72,109,3.0277777777777777,0.042644757433489826,0.1609347442680776,0.24437767458799992,16,52,3.927601809954751,9,0.034037558685446015,0.021702436843281915,0.13947329953716714,0.05504529237136741
"My initial understanding of Occupational Therapy (OT) that I described at the beginning of term one has not changed, although through completing the first term, I feel I am now more secure in my understanding of what Occupational Therapy involves. Each module I have done so far gives a greater insight into what OT is about. The knowledge needed is extensive, as the Anatomy and Physiology module demonstrates, and each module covers interesting and relevant topics needed for practical and background information to become a professional. I experienced a period of illness the week before Christmas which really made me think about the work of an OT. I was ill for three days with severe diarrhoea and vomiting and passing out. I didn't eat for two days, and was very weak and bed ridden. During this period, I longed to be able to do things again. I really wanted to be able to eat, and thoughts of lovely foods dominated my mind. I knew I couldn't eat yet as my stomach was fragile. This longing I felt, just to be able to eat, was all I could think about at the time. I wanted to get well as soon as possible so I could eat and have the strength to go out, do things, see people and not feel like I was wasting time. It was all that was important to me. The experience of being in that situation really made me appreciate the strong desire to carry out simple, essential daily activities, when ill health is preventing you to. It made me think about the work of an OT, and their role in helping and enabling people to do the things they really want to do, no matter how small or unimportant the same activities may seem to others. My illness was over in a few days, and I could do all the things I'd been longing to do whilst I'd been ill. However, for people with a long term illness or disability, having someone to work with them and help them to do things that are important to them, may literally be life changing. The work of an OT seems so worthwhile and important to me. One thing that puzzles me about the course is that often, I feel the focus is generally on Occupational Therapy in hospital settings, and OT in learning disability settings is rarely mentioned.",eng_standard,en,53,68,2.5660377358490565,0.04934687953555878,0.15494159928122192,0.025624802277760216,15,33,3.475378787878788,8,0.03991291727140784,0.018668715672045307,0.12226174932650061,0.0761738655634692
"Jessica is 14 and her sister, Emma, 16. It is Sports Day at school and Emma is sports captain for her house. Jessica watches her sister win all of her races and listens to her friends cheering her on. When their house wins everyone says how wonderful Emma is. Jessica doesn't like sport and school Sports Day is her worst nightmare. She feels jealous of Emma. At home Jessica's mum pushes her to decide what she is going to do when she finishes school and is worried because Jessica's grades aren't as good as Emma's. Emma tells Jessica to do what she enjoys and is good at, but Jessica can't think of anything. The next day everyone is still talking about Sports Day. A group of boys ask Jessica if Emma has a boyfriend. Even Jessica's best friend, Amy admits that Emma is much prettier than Jessica - every girl wants to be like her, maybe Jessica should try something that Emma doesn't do. After school, Jessica and Emma's Dad collected them with their step-mum, Louise. It is Louise's birthday and as a treat Jessica's Dad is taking them to the theatre. Jessica loves the theatre and is very excited. She imagines how wonderful it would be to play the main part in a show. Louise suggests she try for the school play. Jessica had always wanted to audition before but had been to shy. Jessica tells her mum that she thinks she'd like to do drama and wants to audition for the play, but she tells her that she doesn't think it's a very good idea and that she should pursue something more sensible. Jessica decides to try for the play anyway and show her mum that she is good enough. The next day Jessica goes with Amy to audition for the play. Nervous, she tries her very best. At the end of the auditions the drama teacher offers her the main part having noticed that Jessica has the potential to do very well. Without her mum knowing, Jessica works hard to prepare for the play. As her confidence grows Jessica's performance gets better and better. At parents' evening the drama teacher tells Jessica's parents how pleased she is with Jessica and is looking forward to seeing her in the school play. Jessica's mum is furious, but her dad tries to stand up for her. Suddenly Jessica finds herself",eng_standard,en,82,131,3.1951219512195124,0.03944595001505571,0.2631823461091754,0.16238288174221285,20,44,4.54122621564482,12,0.030412526347485695,0.013038241493526045,0.07939391426977105,0.03407654990483241
"Using official statistics the following project attempts to determine establish of wheat, barley and rice for the year 2000. The table below shows UK farm production of wheat and Barley:From the data it is clear that the area and yield of wheat harvested in the UK in 2000 was larger than the area and yield of barley harvested. The UK may produce more wheat than Barley due to more products in our modern diets having a wheat basis, for example cereal foods, biscuits, pasta. UK climatic features may also influence the yields produced. The following table shows the imports of each product into the UK:The above data shows that wheat was imported in the largest quantities, followed by rice. Taking into account UK production levels, this suggests that wheat is in higher demand than Barley and perhaps rice (although no data exists for UK production of rice) as the volume produced and imported is much higher. The world's six largest exporters of wheat, barley and rice are:The six main exporters of these products overall appear to be North and Central America, France, Europe, Oceania, Australia and Canada. The majority of these countries were well economically established in 2000, therefore had the facilities and technology to aid mass production and exportation. They also have the appropriate climate needed to produce wheat, barley and rice. There is no official data stating the average UK consumption per head of wheat, barley and rice. However, there is data available on the consumption of breakfast cereals, buns, scones, cakes, biscuits and fresh pastries, all of which to a certain extent are produced from wheat or barley. Change over time:Patterns in consumption of these food products have evolved over time. People in today's world are turning towards ready meals and pre-prepared products because they fit in with the modern lifestyle: Improved education systems and increased affluence in this day and age means more people can afford to study at university therefore an increasing number are taking on high-powered jobs. Career paths mean increased salaries but often involve long hours so more and more people are making use of convenience foods such as ready meals that need minimal preparation. They do not have the time to prepare their own dinners and can afford this luxury. These evolving lifestyles explain the following patterns in consumer behaviour: Between 1975 and 2000 purchases of flour fell by 65%, purchases of",eng_standard,en,99,253,5.111111111111111,0.05215419501133787,0.445796694887604,0.0024456777349262304,12,74,4.304701962236209,11,0.03710575139146567,0.019014041105351855,0.14310568037540952,0.04846800285966775
"Abstract Snowflake formation is a dynamic process. A snowflake may encounter many different environmental conditions, sometimes melting it, sometimes causing growth, but always changing its structure. Although there are different classifications of snowflakes the key to their unique structure lies in their growth history and the corresponding natural environment. Snowflake formationSnow starts as crystals of ice, which form a cloud when water vapour condenses and then freeze around minute particles, known as condensation nuclei, in the upper and middle levels of the atmosphere where the temperature is well below 0ºC.The individual ice crystals coalesce in a process known as aggregation and then eventually these bonds become snowflakes, which once they are heavy enough, fall from the cloud. The snowflakes can be made from 2 - 200 hundred ice crystals. Snow-crystal structure, however, takes on many forms. Besides the six-armed stars that look like frozen lace, there are a variety of shapes from flat hexagonal plates to three-dimensional small hexagonal pillars with hexagonal plates lying on each end. We now understand that the shape of a snowflake is first determined at the molecular level by the atoms composing the water molecule. Each molecule contains two atoms of hydrogen and one oxygen i.e. H 20. During crystallisation the molecules align themselves in order to maximise attractive forces and minimise repulsive forces and therefore water molecules align themselves in predetermined spaces and in a specific arrangement. The Environmental EffectIce crystals are sensitive to the conditions under which they form, particularly the air temperature, and the excess relative humidity expressed as the supersaturation level - both within and without the clouds. These factors not only affect how the crystals grow but the basic shape they take. The colder the temperature, the sharper the ice crystal tips. At warmer temperatures, the ice crystals grow more slowly and smoothly resulting in less-intricate shapes, i.e., more needles and plates. Thus, dendrite crystals generally form in high clouds, needle or flat six-sided crystals often originate in middle height clouds, and a wide variety of shapes grow in low clouds. ConclusionThe complexity of snow crystal arms arises from the fact that snow crystal growth is extremely sensitive to external conditions. As it grows, its external conditions are constantly changing as it falls, and its final shape reflects the 'time history' of these growth conditions. The more complex the growth history, the more unlikely it becomes that any two crystals",eng_standard,en,81,118,2.9135802469135803,0.03641975308641975,0.32646626551855307,0.057779601734054935,22,52,3.744343891402715,9,0.03209876543209877,0.014220972026879202,0.11843199195269051,0.05313316713498017
