text,word_count,graph_num_vertices,graph_num_edges,graph_average_degree,graph_density,graph_average_clustering_coefficient,graph_assortativity,graph_connected_components,graph_giant_component_size,graph_average_shortest_path_length,graph_diameter,graph_average_degree_centrality,graph_average_betweenness_centrality,graph_average_closeness_centrality,graph_average_eigenvector_centrality,classic_average_word_length,classic_ttr,classic_mtld,classic_average_syllables_per_word
"Section : NEWS # Mental health referrals for ex-servicemen and women have increased by 26% in the past year , according to specialist veterans ' mental health charity Combat Stress . # The charity said that referrals for poor mental health or posttraumatic stress disorder ( PTSD ) had risen from 1,802 to 2,264 , with an increase in veterans from Iraq and Afghanistan seeking help cited as the main reason for the rise . # "" We are very concerned at the significant rise in those coming forward with military PTSD , "" acknowledged director of medical services Dr Walter Busuttil. # "" It is the biggest increase we have seen in recent years and we expect it to continue , so we are building up our clinical services accordingly . The good news is that we do have treatments that work , "" he said . # 2015 , Occupational Health , Reed Business Information Ltd All Rights Reserved .",162,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,5.037313432835821,0.6716417910447762,109.56726094003241,1.873134328358209
"MICUSP Version 1.0 - PHY.G2.05.1 - Physics - Second year Graduate - Male - Native Speaker - Research Paper 1 Michigan Corpus of Upper-level Student Papers. Version 1.0 Ann Arbor, MI. Copyright (c) 2009 Regents of the University of Michigan MICUSP Version 1.0 - PHY.G2.05.1 - Physics - Second year Graduate - Male - Native Speaker - Research Paper 2 Michigan Corpus of Upper-level Student Papers. Version 1.0 Ann Arbor, MI. Copyright (c) 2009 Regents of the University of Michigan MICUSP Version 1.0 - PHY.G2.05.1 - Physics - Second year Graduate - Male - Native Speaker - Research Paper 3 Michigan Corpus of Upper-level Student Papers. Version 1.0 Ann Arbor, MI. Copyright (c) 2009 Regents of the University of Michigan MICUSP Version 1.0 - PHY.G2.05.1 - Physics - Second year Graduate - Male - Native Speaker - Research Paper 4 Michigan Corpus of Upper-level Student Papers. Version 1.0 Ann Arbor, MI. Copyright (c) 2009 Regents of the University of Michigan MICUSP Version 1.0 - PHY.G2.05.1 - Physics - Second year Graduate - Male - Native Speaker - Research Paper 5 Michigan Corpus of Upper-level Student Papers. Version 1.0 Ann Arbor, MI. Copyright (c) 2009 Regents of the University of Michigan MICUSP Version 1.0 - PHY.G2.05.1 - Physics - Second year Graduate - Male - Native Speaker - Research Paper 6 Michigan Corpus of Upper-level Student Papers. Version 1.0 Ann Arbor, MI. Copyright (c) 2009 Regents of the University of Michigan",240,20,18,1.8,0.09473684210526316,0.0,-0.6,16,4,1.5,2,0.021052631578947368,0.0008771929824561403,0.027368421052631577,0.09659497779342154,5.451612903225806,0.13978494623655913,37.2,2.0
"MICUSP Version 1.0 - PHI.G0.06.5 - Philosophy - Final Year Undergraduate - Female - Native Speaker - Response Paper 1 The Evaluative Role of Pain Eric suggested in class that pain fulfills criterion “E”, the evaluative role that mental objects seem to have. Pain is not bad because we assign it the value “bad”. It just is bad (intrinsically bad, I would assume). However, it seems—at least in some cases—that pain is bad because of the value we assign to it. Consider the case of the devout Christian. The devout Christian views physical pain as a way to share in the suffering of Christ (indeed, Pope John Paul II spoke of his great physical suffering as a blessing). He considers his pain a good thing, because it allows him to meditate on the sufferings of Christ and therefore become a better Christian. Pain is not bad for the devout Christian. Use another example, if you like. For the hedonistic masochist, too, pain is not bad. It is a source of pleasure for him, and he does not consider what gives him pleasure to be bad. Now, does this mean that those of us who consider pain to be intrinsically bad are really just assigning the value “bad” to pain? I do not know, and a one page paper hardly seems the place to discuss the question. If pain is not bad by assignment, then it fulfills the evaluative role. If pain is bad merely by assignment, though, it does not fulfill the evaluative role. This does not mean, of course, that pain does not have a place among the mental. Pain appears to play a behavioral role, it is “introspectible from the ‘inside’”, and it is either not located in space, or indeterminately located in space. Michigan Corpus of Upper-level Student Papers. Version 1.0 Ann Arbor, MI. Copyright (c) 2009 Regents of the University of Michigan",316,58,32,1.103448275862069,0.019358741681790685,0.04433497536945812,-0.05927365480383816,33,18,3.0130718954248366,7,0.017543859649122816,0.003359692334283985,0.038414457222759706,0.056723563523060544,4.453074433656958,0.46601941747572817,40.950899080011155,1.8122977346278317
"Question 1: Newton Raphson(a) FORMULA ; FORMULA ; FORMULA (b) Please see attachment - page 1 FORMULA ; FORMULA ; FORMULA . (values in bold are values correct to 14 d.p.) Tolerance being used is 10^(-10). (c) FORMULA (at 6 th iteration with tolerance of 10^(-10)) FORMULA - at different values of x 0 it converges to different roots. e.g. FORMULA after 15 iterations FORMULA after 24376 iterations FORMULA after 12 iterations FORMULA has a turning point at FORMULA . depending on the sign of f'(x) (therefore the value of x) the Newton-Raphson method will find different roots for the equation FORMULA . FORMULA for FORMULA If one of the iterating values gets close to FORMULA the next value for x will be very large number (or very small number), hence resulting in long iterations to get back close to the values of the roots (e.g. x0=1.02). (d) Please see attachment - page 2 Question 2(a) Please see attachment - page 2. The series converges to 0.35 (only correct to 2 d.p. with 3000 terms, and 0.3466 with 30000 terms). (b) Please see attachment - page 3. The second series added to the graph is: FORMULA (c) Two different partial sums of harmonic series: FORMULA and FORMULA The sum of first 3 n terms of series in part (a) have n positive terms 2 n negative terms (denominator of positive terms are odd and denominator of negative terms are even). Let's look at the n positive terms: FORMULA FORMULA FORMULA Let's look at the 2 n negative terms: FORMULA Therefore combining Sn+ and S2n- we get 3n terms of series in part (a): FORMULA But: FORMULA and FORMULA as FORMULA FORMULA FORMULA FORMULA as FORMULA So the series in part (a) converges to FORMULA , which is consistent to the answer we got in part (a) and consistent to the plot in part (b). Generalisation: p positive terms followed by q negative terms converges to: FORMULA (using a similar method: with FORMULA and FORMULA )",335,56,164,5.857142857142857,0.10649350649350649,0.35970428902759727,-0.13066903354900006,13,42,3.0336817653890824,7,0.051298701298701274,0.021055796055796057,0.19495226724562875,0.07634692881381062,4.5588235294117645,0.3431372549019608,22.390190007152192,1.803921568627451
"Jessica is 14 and lives with her mum and sister, Emma who is 16. Jessica and Emma have always been close, and even more so when their parents separated two years ago. They always looked very similar, so much so that when they were younger people often mistook them for twins. But, these sisters were actually very different. But, Jessica feels that she is living in her sister's shadow and she no where near as good in any way. At school all of her male friends say how much they fancy Emma and other girls are jealous, secretly wanted to be her. Jessica wishes that she was as popular as her sister and secretly wanted to be her too. Jessica is much shorter than Emma was at that age and doesn't share the same sporty figure. Her skin is very pale and her hair has always been frizzy. Emma had always been good at every subject and is one of the best at sports in the school. Jessica is bright but has never excelled greatly in any subject area, and on the sports field is awkward and clumsy. Jessica often feels that her parents prefer Emma and feels jealous when they tell other people how well Emma is doing. Jessica has always tried to be like her sister, but wants to find some way of showing people that she is just as special. Emma is so confident and although Jessica is not shy, the confidence she shows is always part of an act that she puts on to hide her real feelings. One thing that Jessica does well in is drama. She hasn't auditioned before for any of the school productions because she had been too shy. However, in drama classes she finds that she is more confident and, in fact, very good. She been to see lots of shows before and had always dreamed secretly that she up on stage too. Jessica's parents do not consider drama to be a very good route to follow and insisted that she did not pursue the subject at GCSE. Jessica is desperate to find a way to prove how talented she is and show that there is something that she, and not Emma, is good at.",374,46,27,1.173913043478261,0.02608695652173913,0.04710144927536233,-0.25925925925925897,25,7,2.142857142857143,4,0.021256038647343,0.0009661835748792271,0.029591362743536662,0.051067459293632066,4.132978723404255,0.425531914893617,62.666666666666664,1.550531914893617
"Front door :-The front door will have a motion sensor which will be activated when the person comes in and will be on until the person leaves the front door from this the system will know whether the person is inside the house or not. All other Doors :-Each door will have a motion sensor to monitor whether the person has come in or not. After the sensor in the front door is activated only one of the other sensors should be activated at a time which shows that the person is in a room. If more than two sensors are activated at the same time, it may be a burglary so this can be used as a security system as well. Windows :-All the windows will have an alarm which should be switched off before opening the windows. This will be used to prevent thieves from breaking in to the house. Kitchen :-The kitchen will have a fire alarm. A carbon monoxide detector will be used to make sure there are no gas leaks. Also there will be a motion sensor to make sure that the person is not still fro a long time. Hall way :-The hall way will have a light which works a as a motion sensor. If the person is stationary for a considerable amount of time the system will know that something has gone wrong. Bedroom :-The bedroom will have a sensor connected to the light to see whether the light is on or not. The bed will be fixed with a pressure sensor a heart beat sensor and a temperature sensor. The pressure sensor will be used to find out whether the person is on the bed or not. The heart rate sensor will monitor the person heart beat and if there is a change the system will take action and do the necessary such as informing some one using an alarm system. The temperature sensor will be used in a shower which will be used to find out whether the person is in a critical condition and needs assistance. Bathroom :-A temperature sensor will be used in the shower which will automatically control the temperature if the water is too hot. The bathroom floor will have infrared sensors running across the floor. So if more than one is cut the system will know that the person has fallen and needs help. The",400,46,60,2.608695652173913,0.057971014492753624,0.18581780538302278,-0.22679027045415884,15,30,3.3448275862068964,7,0.0434782608695652,0.022397891963109352,0.13402206144826542,0.08292464932544426,4.17,0.3375,33.48348348348348,1.58
"MICUSP Version 1.0 - SOC.G1.08.1 - Sociology - First year Graduate - Female - Native Speaker - Response Paper 1 In what ways do spatial environments affect health? What kinds of policy implications are suggested by research on neighborhood effects? The quality of spatial environments has serious implications for health at both an individual and collective level. Sociologists have demonstrated that the meso-level impacts health across the lifespan from birth weight (Morenoff) to mortality in elderly populations (Klinenberg). These effects are produced not by the individuals who inhabit different neighborhoods but by institutional and structural features of neighborhoods themselves. In a review of the literature on “neighborhood effects” and social processes, Robert Sampson, Jeffery Morenoff and Thomas Gannon-Rowley note that meso-level social problems are often interrelated. Poverty, crime, educational advancement, joblessness, and health interact dynamically—creating neighborhood ‘hot spots’ where the sum total of these effects can often mean poor health at best and death at worst for those that inhabit them. Klinenberg describes how neighborhood factors combined to create a perfect storm for the elderly, urban, poor during the Chicago heatwave of 1995. The majority of these deaths were preventable simply by an air conditioner (and the ability to pay for its attendant costs). Yet, over 700 people died than normally do during this time of year. Social isolation resulting from neighborhood demographic changes, fear of the devastating financial and/or physical effects of crime in violent neighborhoods, lack of safe public spaces, and changes in the provision of social services resulted in the high death toll of seniors. 1 Michigan Corpus of Upper-level Student Papers. Version 1.0 Ann Arbor, MI. Copyright (c) 2009 Regents of the University of Michigan MICUSP Version 1.0 - SOC.G1.08.1 - Sociology - First year Graduate - Female - Native Speaker - Response Paper 2 For example, seniors that lived in violent and even marginal neighborhoods were afraid to go out on the street because they knew that an attack, however unlikely, could result in death given their fragile health status. Along these lines, a robbery could have devastating financial consequences for those living on a limited income. Seniors that had access to shared public space that they perceived as safe where they could go to stay cool were more likely to survive. In this way, the conditions of the neighborhood had a clear causal influence on the whether a senior was able to survive the",400,101,88,1.7425742574257426,0.017425742574257427,0.12225365393682222,0.01898330997579292,42,24,2.960144927536232,6,0.015247524752475256,0.0015981598159815976,0.03248422335699112,0.03929544650968959,5.412987012987013,0.548051948051948,112.83799830772486,2.0805194805194804
"Abstract Snowflake formation is a dynamic process. A snowflake may encounter many different environmental conditions, sometimes melting it, sometimes causing growth, but always changing its structure. Although there are different classifications of snowflakes the key to their unique structure lies in their growth history and the corresponding natural environment. Snowflake formationSnow starts as crystals of ice, which form a cloud when water vapour condenses and then freeze around minute particles, known as condensation nuclei, in the upper and middle levels of the atmosphere where the temperature is well below 0ºC.The individual ice crystals coalesce in a process known as aggregation and then eventually these bonds become snowflakes, which once they are heavy enough, fall from the cloud. The snowflakes can be made from 2 - 200 hundred ice crystals. Snow-crystal structure, however, takes on many forms. Besides the six-armed stars that look like frozen lace, there are a variety of shapes from flat hexagonal plates to three-dimensional small hexagonal pillars with hexagonal plates lying on each end. We now understand that the shape of a snowflake is first determined at the molecular level by the atoms composing the water molecule. Each molecule contains two atoms of hydrogen and one oxygen i.e. H 20. During crystallisation the molecules align themselves in order to maximise attractive forces and minimise repulsive forces and therefore water molecules align themselves in predetermined spaces and in a specific arrangement. The Environmental EffectIce crystals are sensitive to the conditions under which they form, particularly the air temperature, and the excess relative humidity expressed as the supersaturation level - both within and without the clouds. These factors not only affect how the crystals grow but the basic shape they take. The colder the temperature, the sharper the ice crystal tips. At warmer temperatures, the ice crystals grow more slowly and smoothly resulting in less-intricate shapes, i.e., more needles and plates. Thus, dendrite crystals generally form in high clouds, needle or flat six-sided crystals often originate in middle height clouds, and a wide variety of shapes grow in low clouds. ConclusionThe complexity of snow crystal arms arises from the fact that snow crystal growth is extremely sensitive to external conditions. As it grows, its external conditions are constantly changing as it falls, and its final shape reflects the 'time history' of these growth conditions. The more complex the growth history, the more unlikely it becomes that any two crystals",400,80,174,4.35,0.05506329113924051,0.4103966063176589,0.11140008669267491,16,62,3.6922263352723426,10,0.04588607594936711,0.02065887698799091,0.1724665635498816,0.05875556734527704,5.3681592039801,0.5,74.64801271860097,1.9477611940298507
"Introduction and CapabilitiesThis is a compiler; implemented in C++, which compiles C code into C compatible three-address code. It takes as a parameter the filename of a source file, and outputs both to the screen and to the file ""output.txt"". If the code compiled successfully, the compiler will return a 0, otherwise it will return a 1. The compiler's scope currently is the declaration of integer variables with user specified names, the functions in() and out(), and any assignment to a variable of an expression containing variables and/or positive and/or negative integers connected with (, ), +, -, *, /, ++, +=, -- and/or -=. White space, including new lines and tabs, is stripped. From this, it generates C three-address code using temporary variables, which is then put recursively through 8 levels of optimisation. Both outputs of this (screen and file) are separated back out with new lines to make it easier for the user to read. Brief Code DescriptionThe code is split up into source files, each with a header. The header contains global variables, definitions and function prototypes. The comments explaining the purpose of each of these are located in the header file, not in the source code. P.T.O Here, briefly, are the important points in the flow of control through the program: Test StrategyI tested the program many hundreds of times throughout the coding to test every new piece of code. Therefore by the end of the code writing process I was able to be fairly sure that the compiler worked. I still ran 15 tests of the compiler both with and without optimisation to verify that the compiler does indeed work. All of these tests were successful. Some of the results follow. Test ResultsTest lexical analysisInput: FORMULA Output 1 (without optimisation): Output 2 (with optimisation): Result: By following through the input, one can see that both outputs are equivalent to it. As the code was designed to be a strenuous test to the lexical analyser, its success is valid. Testing parsing. Input: FORMULA Output 1 (without optimisation): Output 2 (with optimisation): Result: You can mentally convert the input code to output 1 successfully, therefore the parsing, and especially the postfix code seems to work. Manual calculation confirms that the code should output - 42, so both parts of the test were a success. Testing optimisation as a whole. Input: FORMULA Output: Result: This code was the",400,64,120,3.75,0.05952380952380952,0.38315972222222217,-0.07960983343714335,11,46,3.6,9,0.04365079365079361,0.02157738095238095,0.1595064035224952,0.07376761170994518,4.90979381443299,0.44587628865979384,49.39814814814815,1.9175257731958764
"The Sulphur cycleWhen the oxygen is completely depleted in the lower parts of the sediment anaerobic species of Clostridium bacteria begin to grow. Anaerobic bacteria can use nitrates or sulphates as the terminal electron acceptor of respiration instead of oxygen. The Clostridium species degrade the cellulose to glucose and then ferment it to produce energy. Other products of this anaerobic type of respiration are organic compounds such as ethanol, acetic acid and succinic acid. Sulphur reducing bacteria such as Desulfovibrio can use these products for anaerobic respiration using sulphates producing lots of H 2S. This H 2S will react with any iron producing black ferrous sulphide. The H 2S diffuses from the sediment into the water column; this is then used by photosynthetic bacteria to grow. Immediately above the sediment there is usually a band of green sulphur bacteria followed by a band of purple sulphur bacteria. They use H 2S instead of water as the reductant during photosynthesis so produce sulphur and not oxygen. FORMULA This sulphur then returns to the sediment and is recycled by Desulfovibrio. The water column above this zone is often full of red bacteria, these are purple non-sulphur bacteria that grow in anaerobic conditions and are known as photoheterotrophs. This is due to their use of organic acids supplied by Clostridium bacterium as their carbon source. These bacteria such as Rhodopseudomonas, Rhodospirillum and Rhodomicrobium are intolerant of high concentrations of H 2S so occur above the layers of green and purple sulphur bacteria. The top zone in the Winogradsky column is the aerobic zone, it is mainly populated by three distinctive types of bacteria: Sulphur oxidising bacteria such as Beggiatoa and Thiobacillus known as chemoautotrophs. They oxidise any H 2S that diffuses into the aerobic zone to gain energy and synthesise their organic matter from CO 2 Photosynthetic Cyanobacteria which produces oxygen from CO 2 Sheathed bacteria which produces sheaths formed by a mixture of proteins, polysaccarides and lipids. These are found right at the top of the water column and can be encrusted with ferric oxide giving them a yellow colour. ConclusionFrom looking at our Winogradsky columns the different zones can be identified by their levels and their colours, our experiment shows that the three columns with only distilled water added have signs of ferric hydroxide encrusted sheathed bacteria at the top, some initial growth of purple non-sulphur bacteria on the inside of",400,85,226,5.317647058823529,0.06330532212885154,0.42922955168629917,0.11452096822985436,10,69,3.1973572037510656,6,0.0518207282913165,0.01740407006175964,0.21431327031448927,0.05153075839992502,5.2969543147208125,0.43147208121827413,64.42228260293852,2.0406091370558377
